/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/distributed/node.py:182: UserWarning: Port 8100 is already in use.
Perhaps you already have a cluster running?
Hosting the HTTP server on port 36181 instead
  warnings.warn(
/usr/lib/python3.10/multiprocessing/resource_tracker.py:224: UserWarning: resource_tracker: There appear to be 66 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
LocalCluster(ea61c766, 'tcp://127.0.0.1:35843', workers=11, threads=22, memory=11.39 GiB)
<Client: 'tcp://127.0.0.1:35843' processes=11 threads=22, memory=11.39 GiB>
INFO	2023-11-16 13:44:54	BULK	DOWNLOAD	START
INFO	2023-11-16 13:53:45	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B06	END
INFO	2023-11-16 13:53:45	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B07	START
INFO	2023-11-16 13:54:00	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B07	END
INFO	2023-11-16 13:54:00	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B08	START
INFO	2023-11-16 13:54:26	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B08	END
INFO	2023-11-16 13:54:26	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B11	START
INFO	2023-11-16 13:54:41	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B11	END
INFO	2023-11-16 13:54:41	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B12	START
INFO	2023-11-16 13:54:55	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B12	END
INFO	2023-11-16 13:54:55	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	SCL	START
INFO	2023-11-16 13:55:00	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	SCL	END
INFO	2023-11-16 13:55:00	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	SCENE	DONE
INFO	2023-11-16 13:55:01	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	SCENE	FOUND
INFO	2023-11-16 13:55:01	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	SCENE	DOWNLOAD
INFO	2023-11-16 13:55:01	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B02	START
INFO	2023-11-16 13:55:49	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B02	END
INFO	2023-11-16 13:55:49	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B03	START
INFO	2023-11-16 13:56:34	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B03	END
INFO	2023-11-16 13:56:34	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B04	START
INFO	2023-11-16 13:57:19	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B04	END
INFO	2023-11-16 13:57:19	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B05	START
INFO	2023-11-16 13:57:52	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B05	END
INFO	2023-11-16 13:57:52	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B06	START
INFO	2023-11-16 13:58:20	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B06	END
INFO	2023-11-16 13:58:20	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B07	START
INFO	2023-11-16 13:58:49	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B07	END
INFO	2023-11-16 13:58:49	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B08	START
INFO	2023-11-16 13:59:46	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B08	END
INFO	2023-11-16 13:59:46	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B11	START
INFO	2023-11-16 14:00:14	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B11	END
INFO	2023-11-16 14:00:14	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B12	START
INFO	2023-11-16 14:00:43	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	B12	END
INFO	2023-11-16 14:00:43	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	SCL	START
INFO	2023-11-16 14:00:48	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	SCL	END
INFO	2023-11-16 14:00:48	S2B_MSIL2A_20230201T150719_R082_T19NBC_20230202T104302	SCENE	DONE
INFO	2023-11-16 14:00:49	S2B_MSIL2A_20230201T150719_R082_T19NEB_20230202T070513	SCENE	FOUND
INFO	2023-11-16 14:00:49	S2B_MSIL2A_20230201T150719_R082_T19NEB_20230202T070513	SCENE	DOWNLOAD
INFO	2023-11-16 14:00:49	S2B_MSIL2A_20230201T150719_R082_T19NEB_20230202T070513	B02	START
INFO	2023-11-16 14:00:54	S2B_MSIL2A_20230201T150719_R082_T19NEB_20230202T070513	B02	END
INFO	2023-11-16 14:00:54	S2B_MSIL2A_20230201T150719_R082_T19NEB_20230202T070513	B03	START
